a6f5c755-ae40-482e-b2d0-6e96ae6b732e,Club Arce-Cavazos
cac1c2a3-537a-4911-b030-7027a100813a,Naranjo y Asociados
77ad46a5-5e70-4964-baa4-8fe1a3560e87,Cazares-López S. R.L. de C.V.
8ec0bf6e-338e-4f3d-8be7-481440bb5573,Porras e Hijos
05aaae3e-1e4f-41a4-96f9-c2269ae56985,Gonzales-Almanza A.C.
36d27bc1-f762-4a30-ad9f-7486a9053c12,Laboratorios Cortés y Madrigal
0fc11967-97fc-43bb-b1a5-662f3705cc72,Figueroa-Franco
2b3f6657-ffcb-4879-a381-349ab34e92bf,Suárez-Guerrero
7e9b073d-0455-424b-a143-410c0e59eac5,Menéndez-Roque
796449b3-b853-4cb4-9416-8bb1eed16412,Medina-Leyva
1389b9d5-a7bf-4767-8159-1d63dd5623e0,Fernández S. R.L. de C.V.
3120ca55-a5ed-41d4-b8cc-a041e0388ffc,"Industrias Quiñónez, Olivares y Chapa"
97319b22-ae93-44d2-a7c6-07cfa931ef89,"Cavazos, Vallejo y Jimínez"
bdf5e91b-4d5e-4f15-92fe-d66e52e51e37,"Despacho Quiñónez, Rivas y Valdés"
cf18668d-4509-45a7-bc5b-98257b78fa1f,Canales S.A.
8c1bb8ac-25cd-4727-a4bc-fe45382a841d,Corporacin Cintrón y Raya
6fd730b7-0353-40a9-8621-b1d42df66854,Despacho Fierro y Centeno
c6baa08a-3762-4ddb-b64f-6dec18962fec,Saldivar y Tórrez e Hijos
fcb3814e-d684-46ab-ab02-512b476f6611,Matías-Bañuelos
7c2d66ea-c5d1-4de9-84f0-3b8914df8bdc,Partida-Pacheco S. R.L. de C.V.
558f0207-30d4-4c21-9051-768b28fefc94,"Club Olvera, Campos y Escamilla"
31d35847-dff7-4954-9afd-e7ad7bfa652e,Grupo Lugo-Gamboa
42883af3-995f-4be0-9cc6-060c9bbddee9,"Loya, Vergara y Acevedo"
fa399d0f-afe6-4011-a21f-f0cf95945e62,Laboratorios Lomeli-Gurule
f05a756b-9ef6-4ce7-ae77-617ce7d599cd,Ponce-Olivas y Asociados
7905f31f-8960-4c6f-a632-7187a8ff6c8f,Madrid-Montes S. R.L. de C.V.
0f3efb94-ffd8-448e-a246-c71c1e24bbae,Linares-Ramírez e Hijos
043d28b5-7f47-4286-955f-9a3838093f63,"Corrales, Lozano y Enríquez"
4a4c9f95-27e6-4d8f-b3d9-76b9ec31cb62,Laboratorios Esquibel y Montemayor
28f3c9f8-a400-4061-b44b-573466c17646,"Despacho Martínez, Muñiz y Solorio"
a4829da2-ffb3-4611-b337-887908516382,"Industrias Domínguez, Guerrero y Briseño"
3a46eb14-bc7c-4e68-a368-526d21f4de8f,Puga-Ybarra
091e6542-ebc8-496b-9741-772b7da2b8dc,Carbajal y Almonte e Hijos
3e598c40-3d39-4368-b3fc-70d2faf676d5,Zapata S.A.
ee5f583b-dd36-4615-a862-e8fd459359ed,Grupo Madera y Angulo
f3df5695-6051-49a5-9b3e-5ac33fdc4a6d,Marrero-Jaime
9272dc3b-cc8c-4ce1-97cf-8cc0ca59d888,Laboratorios Bueno-Velázquez
415276b7-7572-497e-bc18-47c458c528e7,Abrego-Valdez A.C.
01f96ada-af39-4b1c-b125-ca708ba69d7c,Rendón y Negrete S.C.
55ca0ecc-758b-42ac-8800-b72fe495360d,Industrias Pelayo-Camacho
7a5e72b8-3d7f-4dfc-a8c9-3b43a3a250d6,Montes S.A.
57042471-1e3e-4784-ae86-1fa5d5ac22a1,"Proyectos Ferrer, Tamayo y Sánchez"
88bd34d4-a6df-4223-8ad3-bbe9716c9659,Castellanos S.C.
fc1f7612-ab04-4749-992c-21ae68e4dcb7,"Caballero, Olivera y Godínez"
1a436165-21f4-4a0f-a50f-02ffee414877,"Proyectos Calderón, Ceja y Medina"
c9ba8eb5-1dbc-4527-8e0d-6595f13c140b,Grupo Rangel-Girón
f121b7e4-b0bb-402f-aa85-92273e165dd3,Sarabia e Hijos
38cc3919-a772-41fb-a88d-19b6b094ccf6,"Carrera, Badillo y Gollum"
a543482c-5320-4284-8bfa-395c95d0820b,"Industrias Longoria, Patiño y Alba"
c69d75f6-d21d-42e9-b398-3f3125acacbf,Bahena-Pabón S. R.L. de C.V.
fc5a5c13-a8e1-4aab-b3f0-b95733d5b9ee,"Proyectos García, Camacho y Mascareñas"
72e299a7-fb05-47fb-91d5-9643e8e3f1f0,Grupo Batista y del Río
8272b671-746f-436a-b0f0-d631696825a0,"Laboratorios Longoria, Llamas y Quintana"
eef9cd11-504b-4148-8c23-d37d82a28051,"Corporacin Campos, Irizarry y del Río"
2b84490c-c772-4bde-917b-8c523f12f27d,"Industrias Toro, Anguiano y Casas"
eb75bc3a-6bbb-40a2-83eb-4df24a77a478,Bustos-Ojeda S. R.L. de C.V.
887e5ebf-91cd-4bd0-bc5b-c76a33273503,Laboratorios Caldera-Pedraza
6d83a4f5-039d-4527-a299-6acdd2985ac0,de la Torre-Martínez y Asociados
f1fab7fe-38ed-450f-9cc9-9b202af4e385,"Ocasio, Tórrez y Ureña"
